"cod_coordenacao_regional","coordenacao_regional","cod_escola","escola","tipo_escola","endereco_cep","endereco_uf","endereco_localidade","endereco_regiao_administrativa","endereco_bairro","endereco_logradouro","endereco_complemento"
4,CRE - Ceilândia,181,CENTRO DE ENSINO FUNDAMENTAL 33 DE CEILÂNDIA,pública,"72231200",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNP 12 ,AE
4,CRE - Ceilândia,363,Escola Classe 31 de Ceilândia,pública,"72252500",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),EQNO 9/11 ,AE
4,CRE - Ceilândia,373,ESCOLA CLASSE 56 DE CEILÂNDIA,pública,"72260897",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNO 18 Conjunto I ,AE
12,CRE - Samambaia,211,ESCOLA CLASSE 511 DE SAMAMBAIA,pública,"72313720",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QR 511 Área Especial EC ,AE 02
5,CRE - Gama,480,ESCOLA CLASSE 15 DO GAMA,pública,"72430200",DF,Brasília,Gama                          ,Setor Norte (Gama),Quadra 2 ,area especial
9,CRE - Planaltina,76,CENTRO DE ENSINO FUNDAMENTAL 03 DE PLANALTINA,pública,"73355058",DF,Brasília,Planaltina                    ,Setor Residencial Leste (Planaltina),EQ 10/20 Conjunto H ,Lote 01 Buritis II
14,CRE - Santa Maria,340,CAIC SANTA MARIA,pública,"72545302",DF,Brasília,Santa Maria                   ,Santa Maria,EQ 215/315 Bloco B ,Lote B
4,CRE - Ceilândia,24,CENTRO DE ENSINO FUNDAMENTAL 04 DE CEILÂNDIA,pública,"72215580",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),EQNM 21/23 ,AE
12,CRE - Samambaia,853,Centro Interescolar de Línguas 01 de Samambaia,pública,"72321507",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),QN 407 Conjunto G Comércio,"lote 01, Àrea Especial "
11,CRE - Taguatinga,321,CENTRO DE ENSINO MÉDIO AVE BRANCA,pública,"72015033",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSA 3/5 ,Área Especial
5,CRE - Gama,485,JARDIM DE INFÂNCIA 02 DO GAMA,pública,"72460315",DF,Brasília,Gama                          ,Setor Leste (Gama),EQ 31/32 ,QUADRA
10,CRE - Sobradinho,602,ESCOLA CLASSE 04 DE SOBRADINHO,pública,"73045150",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 15 ,AE 02
7,CRE - Guará,401,CENTRO EDUCACIONAL 02 DO GUARÁ,pública,"71020007",DF,Brasília,Guará                         ,Guará I,QE 7 ,area especial
11,CRE - Taguatinga,169,CENTRO DE ENSINO FUNDAMENTAL VILA AREAL,pública,"71966185",DF,Brasília,Águas Claras                  ,Areal (Águas Claras),QS 6 Conjunto 430B ,Area especial 
14,CRE - Santa Maria,132,CENTRO DE ENSINO FUNDAMENTAL 209 DE SANTA MARIA,pública,"72509221",DF,Brasília,Santa Maria                   ,Santa Maria,CL 209 Bloco A ,LOTE 1A
7,CRE - Guará,60,ESCOLA CLASSE 08 DO GUARÁ,pública,"71065285",DF,Brasília,Guará                         ,Guará II,EQ 28/30 ,LT A
4,CRE - Ceilândia,27,CENTRO DE ENSINO FUNDAMENTAL 11 DE CEILÂNDIA,pública,"72220580",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),EQNN 24/26 ,AE
9,CRE - Planaltina,548,ESCOLA CLASSE PARANÁ,pública,"73350158",DF,Brasília,Planaltina                    ,Setor Residencial Leste (Planaltina),EQ 1/2 Bloco H ,VILA BURITIS
4,CRE - Ceilândia,40,CENTRO DE ENSINO ESPECIAL 01 DE CEILÂNDIA,pública,"72220140",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNN 14 ,aaa
12,CRE - Samambaia,795,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA CALIANDRA,pública,"72308505",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QS 312 Conjunto 5 ,Lote 01
3,CRE - Plano Piloto e Cruzeiro,248,ESCOLA CLASSE 312 NORTE,pública,"70765000",DF,Brasília,Brasília                      ,Asa Norte,SQN 312 ,AE
4,CRE - Ceilândia,721,LAR FABIANO DE CRISTO CASA DE ABGAIL,privada,"72215290",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNM 29 ,a
3,CRE - Plano Piloto e Cruzeiro,230,JARDIM DE INFÂNCIA 316 SUL,pública,"70387000",DF,Brasília,Brasília                      ,Asa Sul,SQS 316 ,AE
11,CRE - Taguatinga,113,CENTRO DE ENSINO ESPECIAL 01 DE TAGUATINGA,pública,"72140200",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNJ 20 ,s
8,CRE - Núcleo Bandeirante,732,"5 - Éden_Instituto de Educação Haideé Neves",privada,"71805311",DF,Brasília,Riacho Fundo I                ,Riacho Fundo I,QN 3 Área Especial 1 ,AE 1/2
9,CRE - Planaltina,87,CENTRO EDUCACIONAL VÁRZEAS,pública,"73390100",DF,Brasília,Planaltina                    ,Planaltina,Núcleo Rural Tabatinga ,DF 120 DF 455 NR.Tabatinga- Sede
15,CRE - São Sebastião,597,ESCOLA CLASSE CACHOEIRINHA,pública,,,,,,,CVCVC BNBN
10,CRE - Sobradinho,662,ESCOLA CLASSE 17 DE SOBRADINHO,pública,"73070055",DF,Brasília,Sobradinho                    ,Sobradinho,Condomínio Vila Rabelo ,AV CENTRAL AE 01
10,CRE - Sobradinho,414,ESCOLA CLASSE 14 DE SOBRADINHO,pública,"73063007",DF,Brasília,Sobradinho II                 ,Setor Oeste (Sobradinho II),AR 19 Conjunto 7 ,AR 19 CONJ. 7 LT 1 SETOR OESTE
4,CRE - Ceilândia,185,CENTRO DE ENSINO FUNDAMENTAL 34 DE CEILÂNDIA,pública,"72261062",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNO 19 Conjunto B ,Lote 01
4,CRE - Ceilândia,342,ESCOLA CLASSE 02 DE CEILÂNDIA,pública,"72215570",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),EQNM 19/21 ,Área Especial 
4,CRE - Ceilândia,345,ESCOLA CLASSE 10 DE CEILÂNDIA,pública,"72210510",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),EQNM 2/4 (Comércio),AE
13,CRE - Paranoá,863,Escola Classe 06 do Paranoá,pública,"71573303",DF,Brasília,Paranoá                       ,Paranoá,Quadra 33 Área Especial s/n ,Modulo 6 
5,CRE - Gama,489,ESCOLA CLASSE 28 DO GAMA,pública,"72420410",DF,Brasília,Gama                          ,Setor Oeste (Gama),Quadra A ,"Lote B, Área Especial "
5,CRE - Gama,777,CRECHE ESPIRITA MARIA DE NAZARÉ - CENOL,privada,"72405610",DF,Brasília,Gama                          ,Setor Central (Gama),Área Especial 1 ,SETOR CENTRAL OESTE
11,CRE - Taguatinga,320,CENTRO DE ENSINO MÉDIO 03 DE TAGUATINGA,pública,"72025050",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSE 5 ,Área Especial 14
3,CRE - Plano Piloto e Cruzeiro,245,ESCOLA CLASSE 115 NORTE,pública,"70772000",DF,Brasília,Brasília                      ,Asa Norte,SQN 115 ,Área Especial
9,CRE - Planaltina,74,CENTRO DE ENSINO FUNDAMENTAL 01 DE PLANALTINA,pública,"73310150",DF,Brasília,Planaltina                    ,Setor de Educação (Planaltina),Setor Educacional ,Lote M
12,CRE - Samambaia,585,CENTRO EDUCACIONAL 123 DE SAMAMBAIA,pública,"72303008",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QR 123 Conjunto 8 ,AE 01
